hour,datetime,wind_generation_mw,electricity_price_lmp,price,delivered_power_mw,gurobi_direct,stored_energy_mw,released_energy_mw,net_storage_power_mw,soc_mwh,gurobi_storage_end,gurobi_curtailment,gurobi_mode_binary_charge,user_load_zonal
123,2020-01-11 03:00:00,222.884,22.790000000000003,0.9085209056981334,222.884,222.884,0.0,0.0,0.0,1000.0,1000.0,0.0,-0.0,1090.075112
124,2020-01-11 04:00:00,151.908,60.09583333333334,2.395713950359108,249.0,151.908,0.0,97.092,97.092,1000.0,823.4690909090909,0.0,-0.0,1043.858004
125,2020-01-11 05:00:00,109.427,28.037500000000005,1.1177119303866352,100.24818181818192,100.24818181818192,9.178818181818087,0.0,-9.178818181818087,823.4690909090909,832.647909090909,0.0,1.0,1029.383149
126,2020-01-11 06:00:00,109.831,19.515833333333333,0.7779966026965257,9.831000000000005,9.831000000000005,100.0,0.0,-100.0,832.647909090909,932.647909090909,0.0,1.0,1021.58817
127,2020-01-11 07:00:00,104.076,56.810833333333335,2.2647577776860772,204.076,104.076,0.0,100.0,100.0,932.647909090909,750.8297272727273,0.0,-0.0,1015.593843
128,2020-01-11 08:00:00,87.625,20.88,0.8323789605518659,0.0,0.0,87.625,0.0,-87.625,750.8297272727273,838.4547272727273,0.0,1.0,1027.920901
129,2020-01-11 09:00:00,44.559,20.859166666666663,0.8315484419529754,0.0,0.0,44.559,0.0,-44.559,838.4547272727273,883.0137272727272,0.0,1.0,1049.467614
130,2020-01-11 10:00:00,37.869,36.659166666666664,1.461413747351418,37.869,37.869,0.0,0.0,0.0,883.0137272727272,883.0137272727272,0.0,-0.0,1115.677271
131,2020-01-11 11:00:00,15.889,30.944999999999997,1.2336191060477724,15.889,15.889,0.0,0.0,0.0,883.0137272727272,883.0137272727272,0.0,-0.0,1229.572284
132,2020-01-11 12:00:00,1.181,138.49083333333337,5.520922217239547,101.181,1.181,0.0,100.0,100.0,883.0137272727272,701.1955454545455,0.0,-0.0,1284.651991
133,2020-01-11 13:00:00,0.045,56.46333333333334,2.2509047274565863,100.045,0.045,0.0,100.0,100.0,701.1955454545455,519.3773636363637,0.0,-0.0,1277.637269
134,2020-01-11 14:00:00,3.396,21.770833333333332,0.8678919358404172,0.0,0.0,3.396,0.0,-3.396,519.3773636363637,522.7733636363637,0.0,1.0,1273.764627
135,2020-01-11 15:00:00,22.668,52.235833333333325,2.082375893369756,122.668,22.668,0.0,100.0,100.0,522.7733636363637,340.9551818181818,0.0,-0.0,1271.791554
136,2020-01-11 16:00:00,40.863,20.590833333333332,0.8208513623992678,0.0,0.0,40.863,0.0,-40.863,340.9551818181818,381.8181818181818,0.0,1.0,1278.19263
137,2020-01-11 17:00:00,56.233,150.77571428571432,6.010657678812644,156.233,56.233,0.0,100.0,100.0,381.8181818181818,200.0,0.0,-0.0,1264.12778
138,2020-01-11 18:00:00,60.971,20.396666666666665,0.8131109290576096,0.0,0.0,60.971,0.0,-60.971,200.0,260.971,0.0,1.0,1252.802727
139,2020-01-11 19:00:00,103.882,37.854166666666664,1.5090522941837683,137.41605,103.882,0.0,33.53405,33.53405,260.971,200.0,0.0,-0.0,1244.268182
140,2020-01-11 20:00:00,159.829,29.59833333333334,1.1799343838155003,159.829,159.829,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1247.456424
141,2020-01-11 21:00:00,221.92,9.0975,0.3626708617634387,121.92,121.92,100.0,0.0,-100.0,200.0,300.0,0.0,1.0,1266.117559
142,2020-01-11 22:00:00,234.391,23.933333333333337,0.954099766405236,234.391,234.391,0.0,0.0,0.0,300.0,300.0,0.0,0.0,1301.620311
143,2020-01-11 23:00:00,235.002,8.847499999999998,0.3527046385767544,135.002,135.002,100.0,0.0,-100.0,300.0,400.0,0.0,1.0,1393.314496
144,2020-01-12 00:00:00,235.099,24.24333333333333,0.966457883156724,235.099,235.099,0.0,0.0,0.0,400.0,400.0,0.0,1.0,1414.592693
145,2020-01-12 01:00:00,235.144,20.262500000000003,0.8077623892807559,235.144,235.144,0.0,0.0,0.0,400.0,400.0,0.0,-0.0,1422.345108
146,2020-01-12 02:00:00,235.163,14.691666666666668,0.585681715937476,182.93400000000008,182.93400000000008,52.22899999999993,0.0,-52.22899999999993,400.0,452.2289999999999,0.0,1.0,1395.073421
147,2020-01-12 03:00:00,235.157,18.349166666666665,0.731487561158666,235.157,235.157,0.0,0.0,0.0,452.2289999999999,452.2289999999999,0.0,0.0,1346.205184
148,2020-01-12 04:00:00,235.159,25.99333333333334,1.036221445463514,235.159,235.159,0.0,0.0,0.0,452.2289999999999,452.2289999999999,0.0,0.0,1303.675058
149,2020-01-12 05:00:00,235.128,19.823333333333338,0.7902550572161474,235.128,235.128,0.0,0.0,0.0,452.2289999999999,452.2289999999999,0.0,0.0,1244.561918
150,2020-01-12 06:00:00,235.131,8.177857142857142,0.326009397898136,135.13099999999997,135.13099999999997,100.0,0.0,-100.0,452.2289999999999,552.2289999999999,2.8421709430404014e-14,1.0,1258.021612
151,2020-01-12 07:00:00,235.138,24.715833333333336,0.9852940449795576,235.138,235.138,0.0,0.0,0.0,552.2289999999999,552.2289999999999,0.0,0.0,1283.838256
152,2020-01-12 08:00:00,235.145,16.993333333333336,0.677437410742882,235.145,235.145,0.0,0.0,0.0,552.2289999999999,552.2289999999999,0.0,0.0,1322.468856
153,2020-01-12 09:00:00,232.932,17.363333333333333,0.6921874210591745,232.932,232.932,0.0,0.0,0.0,552.2289999999999,552.2289999999999,0.0,0.0,1375.748371
154,2020-01-12 10:00:00,189.88,19.941666666666663,0.7949724028578443,189.88,189.88,0.0,0.0,0.0,552.2289999999999,552.2289999999999,0.0,0.0,1474.336816
